created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2017-11-28 16:24:10 UTC,1,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:24:39 UTC,2,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:25:10 UTC,3,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:25:40 UTC,4,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:26:11 UTC,5,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:26:41 UTC,6,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:27:12 UTC,7,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:27:46 UTC,8,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:28:16 UTC,9,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:28:46 UTC,10,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:29:17 UTC,11,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:29:48 UTC,12,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:30:49 UTC,13,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:31:19 UTC,14,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:31:49 UTC,15,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:32:19 UTC,16,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:32:49 UTC,17,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:33:19 UTC,18,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:33:49 UTC,19,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:34:19 UTC,20,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:34:48 UTC,21,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:35:19 UTC,22,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:35:49 UTC,23,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:36:19 UTC,24,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:36:49 UTC,25,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:37:19 UTC,26,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:37:49 UTC,27,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:38:19 UTC,28,255.13,223.36,0.00,0,0,0,9928492120,9928492120
2017-11-28 16:39:22 UTC,29,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:39:51 UTC,30,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:40:21 UTC,31,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:40:51 UTC,32,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:41:21 UTC,33,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:42:21 UTC,34,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:42:50 UTC,35,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:43:20 UTC,36,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:43:50 UTC,37,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:44:20 UTC,38,22.40,260,31,1,0,0,9928492120,9928492120
2017-11-28 16:44:51 UTC,39,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-15 17:51:15 UTC,40,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-15 17:51:45 UTC,41,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-15 17:52:16 UTC,42,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 05:40:55 UTC,43,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 05:41:26 UTC,44,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 05:45:18 UTC,45,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 05:45:49 UTC,46,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 06:31:54 UTC,47,22.40,260,31,1,0,0,9928492120,9928492120
2017-12-17 06:32:54 UTC,48,22.40,260,31,1,0,0,9928492120,9928492120
